               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.045675,            0.088067,                   0,             0.86829,             0.71244,             0.81198,             0.51894,            0.036569,            0.099301,                   0,             0.00772,             0.00772,             0.00772
                  40,            0.045753,            0.087187,                   0,             0.88061,             0.71506,             0.81752,             0.52396,            0.036282,            0.098892,                   0,             0.00766,             0.00766,             0.00766
                  41,             0.04582,            0.087376,                   0,             0.87788,             0.71212,              0.8146,             0.52171,            0.036339,            0.098817,                   0,              0.0076,              0.0076,              0.0076
                  42,            0.045862,            0.086838,                   0,             0.87936,             0.70939,              0.8143,             0.52364,            0.036239,            0.097855,                   0,             0.00754,             0.00754,             0.00754
                  43,            0.045389,            0.088396,                   0,             0.88081,             0.71515,             0.81822,             0.52236,            0.036224,             0.09817,                   0,             0.00748,             0.00748,             0.00748
                  44,            0.045541,             0.08548,                   0,             0.87657,             0.71769,             0.81961,             0.52397,            0.036189,            0.097833,                   0,             0.00742,             0.00742,             0.00742
                  45,            0.045313,             0.08691,                   0,             0.88081,             0.72013,             0.81822,              0.5263,            0.035997,            0.098405,                   0,             0.00736,             0.00736,             0.00736
                  46,            0.045494,            0.087148,                   0,             0.87357,             0.72048,             0.81752,             0.52453,            0.035977,            0.097624,                   0,              0.0073,              0.0073,              0.0073
                  47,            0.045133,            0.085884,                   0,             0.88397,             0.71121,             0.81563,             0.52526,            0.036053,            0.097966,                   0,             0.00724,             0.00724,             0.00724
                  48,            0.045355,            0.088185,                   0,             0.88062,             0.71673,             0.81839,             0.52871,            0.035794,            0.097468,                   0,             0.00718,             0.00718,             0.00718
                  49,            0.045327,            0.086076,                   0,             0.87693,             0.72088,             0.82165,             0.52946,            0.035844,            0.097056,                   0,             0.00712,             0.00712,             0.00712
                  50,            0.045022,            0.085412,                   0,              0.8795,             0.71062,             0.81809,             0.52833,            0.036071,            0.098062,                   0,             0.00706,             0.00706,             0.00706
                  51,            0.045071,            0.084907,                   0,             0.87836,             0.72036,             0.81971,             0.52812,            0.035948,            0.097387,                   0,               0.007,               0.007,               0.007
                  52,            0.045161,            0.085943,                   0,             0.87534,             0.72234,             0.81939,             0.52987,            0.035762,            0.096937,                   0,             0.00694,             0.00694,             0.00694
                  53,            0.045029,            0.085042,                   0,             0.87836,             0.72295,             0.82256,             0.53071,            0.035768,            0.096654,                   0,             0.00688,             0.00688,             0.00688
                  54,            0.044998,            0.085128,                   0,             0.87806,             0.71989,             0.82229,             0.53184,            0.035636,            0.096467,                   0,             0.00682,             0.00682,             0.00682
                  55,            0.044788,            0.084519,                   0,              0.8782,             0.72154,             0.82314,             0.53245,            0.035597,            0.096643,                   0,             0.00676,             0.00676,             0.00676
                  56,            0.044961,            0.083977,                   0,             0.87533,             0.72142,             0.82199,               0.531,             0.03566,            0.096988,                   0,              0.0067,              0.0067,              0.0067
                  57,            0.044864,            0.085197,                   0,             0.87931,             0.72431,             0.82439,             0.53349,            0.035508,             0.09613,                   0,             0.00664,             0.00664,             0.00664
                  58,            0.044682,            0.084207,                   0,             0.87974,             0.72426,             0.82422,             0.53385,            0.035594,            0.096423,                   0,             0.00658,             0.00658,             0.00658
                  59,            0.044648,            0.085993,                   0,              0.8784,             0.72887,             0.82342,             0.53403,            0.035546,            0.096578,                   0,             0.00652,             0.00652,             0.00652
                  60,            0.044556,             0.08515,                   0,             0.87625,             0.72576,             0.82461,             0.53479,            0.035474,            0.096112,                   0,             0.00646,             0.00646,             0.00646
                  61,            0.044779,             0.08527,                   0,             0.88073,             0.72576,              0.8244,             0.53456,            0.035529,            0.096169,                   0,              0.0064,              0.0064,              0.0064
                  62,            0.044503,            0.085351,                   0,             0.87838,             0.72517,             0.82405,             0.53526,            0.035471,            0.096129,                   0,             0.00634,             0.00634,             0.00634
                  63,            0.044799,            0.084844,                   0,             0.88236,             0.72459,             0.82497,             0.53512,            0.035314,            0.096031,                   0,             0.00628,             0.00628,             0.00628
                  64,            0.044434,            0.084099,                   0,             0.87792,              0.7267,             0.82582,             0.53668,            0.035348,            0.095806,                   0,             0.00622,             0.00622,             0.00622
                  65,            0.044527,            0.086054,                   0,             0.88339,             0.72157,             0.82572,             0.53667,            0.035349,             0.09572,                   0,             0.00616,             0.00616,             0.00616
                  66,            0.044644,            0.084705,                   0,             0.88516,              0.7223,             0.82623,             0.53649,            0.035384,              0.0955,                   0,              0.0061,              0.0061,              0.0061
                  67,            0.044642,            0.085445,                   0,             0.88744,             0.72482,             0.82653,             0.53691,            0.035243,            0.095787,                   0,             0.00604,             0.00604,             0.00604
                  68,            0.044399,            0.084901,                   0,             0.88339,             0.72793,             0.82763,             0.53824,            0.035282,            0.095255,                   0,             0.00598,             0.00598,             0.00598
                  69,            0.044602,            0.084023,                   0,             0.88691,             0.72664,             0.82689,             0.53839,            0.035194,            0.095267,                   0,             0.00592,             0.00592,             0.00592
                  70,            0.044355,             0.08564,                   0,             0.88422,             0.72784,             0.82726,             0.54008,            0.035144,            0.095209,                   0,             0.00586,             0.00586,             0.00586
                  71,            0.044144,            0.084016,                   0,             0.88018,             0.73275,             0.82868,              0.5415,            0.034934,            0.095331,                   0,              0.0058,              0.0058,              0.0058
                  72,              0.0446,            0.084852,                   0,             0.88358,             0.73063,             0.82899,             0.54019,            0.035019,            0.094873,                   0,             0.00574,             0.00574,             0.00574
